"Year","Distance.travelled.by.road.per.capita..km.","Total.distance.travelled.by.road..billion.km.","Deaths","rate"
2001,9431.437278482,36.590204066,455,12.4350222037376
2002,9572.861478417,37.789827972,405,10.717169718266
2003,9674.792155594,38.955550615,461,11.834000359951
2004,9810.896683476,40.096153656,435,10.8489209147598
2005,9801.391051051,40.510129353,405,9.99749955056629
2006,9686.696060348,40.530104986,393,9.69649597837832
2007,9740.899942841,41.138742729,421,10.2336622869912
2008,9525.236038692,40.57083786,366,9.02125810817554
2009,9422.973495025,40.535747381,384,9.47312001899808
2010,9310.813099538,40.502968064,375,9.25858073925473
2011,9134.424178427,40.038921501,284,7.09309814933219
2012,9100.088012501,40.109547924,308,7.67896962049041
2013,9169.992330489,40.729437935,253,6.21172333396208
2014,9246.94976379,41.758300438,293,7.01656908750459
2015,9391.29613366,43.281666491,317,7.32411724640771
2016,9607.658047393,45.288578504,327,7.22036351772707
2017,9740.089341457,46.878075992,378,8.06347086566667
2018,9827.253657278,48.149612019,378,7.85053054738717
2019,9636.913243849,47.977372584,352,7.33679193006473
2020,9109.958989909,46.312298517,318,6.86642663359217
