"","Calendar year and month","Total","00 to 04","05 to 09","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85+","year","month","date"
"1",201701,801,NA,2,25,169,150,92,59,48,68,49,44,40,19,15,8,3,5,5,2017,1,2017-01-28
"2",201702,828,NA,NA,44,203,139,89,53,54,56,74,46,19,18,11,11,2,1,8,2017,2,2017-02-28
"3",201703,880,NA,NA,38,216,153,81,63,64,70,62,45,37,22,8,7,9,2,3,2017,3,2017-03-28
"4",201704,790,NA,2,40,182,162,96,69,33,45,38,51,24,22,9,8,1,4,4,2017,4,2017-04-28
"5",201705,915,NA,1,48,222,182,105,56,57,58,65,43,22,24,10,6,9,3,4,2017,5,2017-05-28
"6",201706,828,NA,NA,46,212,151,85,62,54,55,54,38,26,15,13,6,3,1,7,2017,6,2017-06-28
"7",201707,830,NA,NA,30,189,148,99,60,63,53,65,45,33,18,11,7,4,1,4,2017,7,2017-07-28
"8",201708,905,NA,1,64,233,151,103,64,55,51,67,35,29,25,14,4,2,3,4,2017,8,2017-08-28
"9",201709,868,NA,NA,35,231,143,98,80,55,56,54,48,22,15,13,10,4,1,3,2017,9,2017-09-28
"10",201710,897,NA,NA,30,240,134,107,82,71,56,53,37,34,20,16,7,5,4,1,2017,10,2017-10-28
"11",201711,883,NA,NA,64,211,141,106,59,58,45,49,54,41,22,21,7,1,2,2,2017,11,2017-11-28
"12",201712,888,NA,NA,31,194,153,100,69,56,67,56,63,40,21,13,9,8,1,7,2017,12,2017-12-28
"13",201801,1019,NA,1,38,215,192,109,75,64,71,72,68,50,24,19,7,1,6,7,2018,1,2018-01-28
"14",201802,897,NA,1,50,210,159,98,75,52,46,62,43,38,24,15,9,5,4,6,2018,2,2018-02-28
"15",201803,897,NA,NA,33,213,164,90,80,43,69,70,57,31,15,12,10,3,4,3,2018,3,2018-03-28
"16",201804,809,NA,NA,36,161,138,109,67,57,44,53,53,31,21,25,4,NA,6,4,2018,4,2018-04-28
"17",201805,936,NA,NA,60,224,171,100,89,48,54,64,49,29,14,14,5,7,3,5,2018,5,2018-05-28
"18",201806,936,NA,NA,52,244,195,96,70,52,51,54,44,26,18,17,7,2,2,6,2018,6,2018-06-28
"19",201807,898,NA,NA,49,200,181,100,68,51,61,57,46,32,16,14,7,4,7,5,2018,7,2018-07-28
"20",201808,980,NA,NA,64,278,171,94,64,53,43,71,47,36,16,13,18,3,5,4,2018,8,2018-08-28
"21",201809,954,NA,NA,65,261,190,89,62,50,47,46,46,46,23,6,5,6,5,7,2018,9,2018-09-28
"22",201810,968,NA,NA,47,222,207,120,66,47,52,66,47,32,20,22,6,5,6,3,2018,10,2018-10-28
"23",201811,916,NA,NA,41,259,182,98,69,40,41,48,42,34,14,20,12,8,6,2,2018,11,2018-11-28
"24",201812,841,NA,2,38,197,136,100,85,40,53,42,55,34,17,16,12,4,5,5,2018,12,2018-12-28
"25",201901,942,NA,NA,38,213,187,116,87,40,48,79,41,39,21,14,4,4,6,5,2019,1,2019-01-28
"26",201902,931,NA,NA,46,221,162,98,77,61,68,67,44,44,20,10,6,2,1,4,2019,2,2019-02-28
"27",201903,1010,NA,NA,55,214,171,128,81,57,66,59,70,47,24,19,6,5,6,2,2019,3,2019-03-28
"28",201904,849,NA,NA,46,196,146,91,64,61,53,46,54,40,21,11,5,4,3,8,2019,4,2019-04-28
"29",201905,977,NA,NA,61,228,201,109,66,60,57,51,58,35,17,8,9,6,5,6,2019,5,2019-05-28
"30",201906,888,NA,NA,44,225,183,91,62,51,46,53,41,42,18,7,8,5,8,4,2019,6,2019-06-28
"31",201907,869,NA,NA,40,204,156,100,61,56,54,59,55,30,25,10,7,6,3,3,2019,7,2019-07-28
"32",201908,909,NA,NA,57,233,157,114,50,47,51,52,45,33,37,9,10,4,3,7,2019,8,2019-08-28
"33",201909,994,NA,NA,40,258,180,117,81,61,62,47,49,38,22,15,10,6,4,4,2019,9,2019-09-28
"34",201910,965,NA,NA,45,258,167,111,78,61,41,62,36,48,27,6,15,1,3,6,2019,10,2019-10-28
"35",201911,910,NA,NA,47,190,173,102,68,66,52,63,43,42,22,16,9,9,5,3,2019,11,2019-11-28
"36",201912,898,NA,NA,46,193,176,101,82,66,53,40,40,25,34,14,13,8,5,2,2019,12,2019-12-28
"37",202001,987,NA,NA,26,225,203,104,86,72,60,51,55,41,29,12,8,9,3,3,2020,1,2020-01-28
"38",202002,996,NA,NA,49,220,194,127,71,57,42,70,59,37,25,14,6,15,4,6,2020,2,2020-02-28
"39",202003,886,NA,1,44,211,180,94,70,49,53,52,43,34,22,12,5,13,1,2,2020,3,2020-03-28
"40",202004,633,NA,NA,30,127,115,80,54,57,28,44,26,21,28,5,6,5,4,3,2020,4,2020-04-28
"41",202005,811,NA,NA,34,184,155,104,66,66,38,40,41,29,22,16,5,4,5,2,2020,5,2020-05-28
"42",202006,879,NA,NA,47,242,152,105,86,50,45,39,46,25,22,10,3,1,3,3,2020,6,2020-06-28
"43",202007,896,NA,NA,40,215,198,79,72,61,51,51,45,34,16,12,8,9,1,4,2020,7,2020-07-28
"44",202008,1130,NA,NA,91,294,212,110,81,64,64,62,51,37,23,16,9,4,4,8,2020,8,2020-08-28
"45",202009,1102,NA,NA,96,283,226,115,84,60,41,59,51,31,24,7,11,9,NA,5,2020,9,2020-09-28
"46",202010,1045,NA,NA,72,290,209,104,72,47,42,48,57,39,26,9,13,6,4,7,2020,10,2020-10-28
"47",202011,979,NA,NA,86,269,182,93,63,62,38,55,46,36,16,8,9,4,5,7,2020,11,2020-11-28
"48",202012,916,NA,NA,56,241,168,86,71,38,50,58,48,30,30,15,9,6,6,4,2020,12,2020-12-28
"49",202101,926,NA,NA,51,217,171,107,66,54,58,56,55,36,20,16,8,4,4,3,2021,1,2021-01-28
"50",202102,911,NA,NA,71,227,163,88,71,56,50,50,49,39,15,5,9,6,5,7,2021,2,2021-02-28
"51",202103,1046,NA,1,99,273,162,104,80,54,73,52,44,38,22,12,13,5,5,9,2021,3,2021-03-28
"52",202104,830,NA,NA,61,233,149,88,52,37,35,41,39,46,17,8,8,3,7,6,2021,4,2021-04-28
"53",202105,986,NA,NA,98,266,177,105,68,43,52,38,51,32,20,13,12,2,6,3,2021,5,2021-05-28
"54",202106,939,NA,NA,103,256,140,106,61,49,48,47,40,37,20,14,11,2,3,2,2021,6,2021-06-28
